Age,Game_Played,PA,At_Bat,Run,Hit,Double,Homerun,RBI,SO,BB,BA
34,68,288,249,46,66,14,21,58,49,38,0.265
27,75,275,250,29,68,14,4,25,29,11,0.272
33,57,245,223,41,74,13,8,46,33,19,0.332
27,100,187,175,27,44,3,2,15,15,8,0.251
31,150,604,523,75,139,25,7,51,79,69,0.266
28,60,232,208,32,57,14,13,37,51,24,0.274
30,126,535,464,76,120,27,14,58,79,55,0.259
27,156,615,583,68,176,46,10,82,43,13,0.302
31,145,604,524,73,134,22,29,102,146,66,0.256
29,154,679,597,104,179,44,30,102,99,74,0.3
24,141,590,547,75,158,25,14,72,90,29,0.289
30,115,496,461,69,133,30,22,67,84,32,0.289
36,80,298,267,37,73,10,6,25,25,22,0.273
28,92,298,238,48,58,12,7,34,70,56,0.244
30,105,265,238,26,62,12,3,27,49,14,0.261
27,91,198,186,31,51,4,7,31,28,10,0.274
28,73,196,173,25,44,3,2,24,24,18,0.254
26,66,188,163,18,41,7,3,22,39,22,0.252
29,83,282,234,36,64,11,7,33,34,43,0.274
26,159,717,618,105,206,30,29,144,67,71,0.333
24,100,399,339,59,87,12,2,29,48,36,0.257
32,143,555,509,68,139,18,1,38,55,28,0.273
30,158,665,612,88,186,29,15,106,66,36,0.304
26,135,544,500,76,147,33,20,78,91,35,0.294
23,98,413,372,49,92,15,7,44,69,35,0.247
26,157,679,601,107,193,41,33,118,99,69,0.321
26,159,741,655,136,214,42,16,88,60,65,0.327
30,103,295,270,34,75,14,12,53,68,22,0.278
36,66,212,182,29,44,7,0,14,32,23,0.242
25,61,195,178,12,37,9,1,23,42,8,0.208
24,56,190,167,18,29,10,5,17,38,17,0.174
33,140,589,544,64,147,29,16,82,50,36,0.27
26,102,371,346,43,93,21,7,40,57,24,0.269
22,156,690,631,89,156,25,8,54,101,46,0.247
27,146,559,474,79,142,32,9,65,104,77,0.3
25,154,552,523,66,149,26,19,76,111,26,0.285
24,99,358,336,44,94,14,5,44,68,18,0.28
28,156,664,561,84,171,44,13,88,63,91,0.305
24,130,478,415,59,117,36,10,63,81,57,0.282
30,134,433,373,52,111,24,4,47,77,48,0.298
28,64,245,215,22,48,13,5,27,49,25,0.223
28,77,196,181,28,50,10,4,22,25,11,0.276
26,117,400,337,47,101,21,14,69,74,55,0.3
32,159,719,590,152,183,37,47,132,116,107,0.31
34,101,466,377,67,101,13,8,35,73,61,0.268
33,110,351,304,32,63,9,7,33,56,35,0.207
26,78,279,258,28,67,15,11,59,56,10,0.26
25,119,281,264,36,68,10,20,47,61,15,0.258
25,153,644,558,118,175,42,44,122,110,56,0.314
33,126,517,454,82,161,28,30,114,45,52,0.355
24,116,465,420,78,119,22,10,40,93,37,0.283
24,114,417,353,76,105,28,21,67,73,56,0.297
34,124,409,355,41,107,17,3,43,38,49,0.301
25,74,305,259,54,73,2,6,26,47,43,0.282
37,59,253,208,42,63,13,15,45,37,42,0.303
33,74,249,218,24,61,18,7,33,45,25,0.28
31,90,303,268,31,63,12,5,27,51,22,0.235
31,159,683,565,84,161,45,14,103,96,102,0.285
35,138,578,481,72,118,23,3,46,78,81,0.245
24,148,672,554,134,175,34,41,132,121,100,0.316
27,133,512,454,57,112,24,11,47,66,42,0.247
41,92,395,324,58,77,13,4,30,55,63,0.238
27,155,643,543,96,145,28,19,78,133,78,0.267
35,112,430,364,50,92,20,26,82,98,59,0.253
37,153,665,556,100,180,31,37,145,95,96,0.324
36,105,392,342,61,94,18,5,40,64,42,0.275
24,90,328,288,45,74,15,7,42,53,28,0.257
34,69,219,200,33,53,13,10,35,38,14,0.265
24,143,479,419,52,101,19,14,62,64,38,0.241
29,152,664,510,108,170,29,43,137,96,137,0.333
37,122,546,485,82,135,23,12,41,95,54,0.278
26,160,681,607,105,167,32,30,115,102,66,0.275
22,153,569,501,89,139,23,26,86,94,62,0.277
24,158,675,594,92,166,40,27,104,130,73,0.279
24,138,631,584,104,168,34,18,80,77,43,0.288
32,143,562,476,74,108,26,21,81,122,78,0.227
25,104,302,260,42,66,10,10,50,61,32,0.254
29,76,247,214,40,67,12,9,33,40,25,0.313
25,130,513,473,59,133,20,14,71,33,23,0.281
32,161,712,614,93,167,31,36,117,181,79,0.272
24,156,641,598,82,159,33,9,72,73,28,0.266
27,110,343,301,28,72,14,6,23,59,30,0.239
23,159,678,563,120,160,37,47,102,163,112,0.284
26,157,747,676,121,240,39,25,100,82,64,0.355
28,159,681,647,92,185,40,35,117,87,24,0.286
